formatted_address,,,,,,,
"78, Jalan Dedap 4, Taman Johor Jaya, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"28-48, Jalan Teratai 4, Taman Johor Jaya, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"97, Jalan Sutera, Taman Sentosa, 80150 Johor Bahru, Johor, Malaysia",,,,,,,
"175, Jalan Harimau, Taman Century, 80250 Johor Bahru, Johor, Malaysia",,,,,,,
"36, Jalan Kolam Ayer, Taman Kolam Air, 80100 Johor Bahru, Johor, Malaysia",,,,,,,
"No.16, Jalan Padi Emas 4/1, Bandar Baru Uda, 81200 Johor Bahru, Johor, Malaysia",,,,,,,
"20g, Jalan Bestari 3/2, Taman Nusa Bestari, 81200 Johor Bahru, Johor, Malaysia",,,,,,,
"Ptd 80500, Jln Kota Tinggi Km 12, Taman Desa Tebrau, Johor Bahru., Malaysia",,,,,,,
"No 15, Ground Floor, 21, Jalan Bukit Mutiara, Taman Bukit Mutiara, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"34, Jalan Persiaran Susur Larkin Perdana 2, Taman Larkin Perdana, 80350 Johor Bahru, Johor, Malaysia",,,,,,,
"69, Jln Adda 3/1, Adda Heights, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"Taman Cempaka, 81200 Johor Bahru, Johor, Malaysia",,,,,,,
"53, Jalan Pakis 1, Taman Sri Pulai, 81110 Johor Bahru, Johor, Malaysia",,,,,,,
"75, Jalan Ros Merah 2/1, Taman Johor Jaya, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"9505 A, Jalan Tampoi, Kawasan Perindustrian Tampoi, Johor, 81200 Johor Bahru, Malaysia",,,,,,,
"No. 16 (Gf, Jalan Indah 5/4, Taman Bukit Indah, 81200 Johor Bahru, Johor, Malaysia",,,,,,,
"Suasana, #G-01, 82C, Jalan Trus, Bandar Johor Bahru, 80000 Johor Bahru, Johor, Malaysia",,,,,,,
"36, Jalan Padi 1, Bandar Baru Uda, 81200 Johor Bahru, Johor, Malaysia",,,,,,,
"47, Jln Perjiranan 15/1, Bandar Dato Onn, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"48 (GF, Jalan Suria 19, Taman Suria, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"45, Jalan Bayu Puteri 1/3, Taman Bayu Puteri, 80150 Johor Bahru, Johor, Malaysia",,,,,,,
"11, Jalan Setia 3/8, Taman Setia Indah, 81100 Johor Bahru, Johor, Malaysia",,,,,,,
"63, Jln Meranti Merah, Taman Melodies, 80250 Johor Bahru, Johor, Malaysia",,,,,,,
"No. 5 (Gf), Jalan Harmonium 23/14, Taman Desa Tebrau, 81100, Johor Bharu, Johor, 81100, Malaysia",,,,,,,
